V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228
77,9,9,61,8,6,54,5,264,5,4,2,2,12,1,2,7,4,2,2,4,4,0,2,410,302,6,18,14,5,5,8,12,1,3,6,0,5,10,0,29,5,9,1,7,1,35,40,3,4,16,17,61,10,7,5,3,6,2,3,22,0,10,1,1,4,1,28,0,1,88,126,6,1,30,4,0,16,23,18,34,6,15,554,5,13,2,19,2,8,8,4,1,11,7,0,3,15,73,14,1,53,0,17,20,0,32,400,6,9,0,3,2,19,192,55,10,1,5,1,56,8,18,2,1,1,10,5,56,0,2,2,11,1,35,2,37,2,3,5,0,9,4,6,1,3,10,0,8,9,1,7,8,96,42,11,118,7,3,4,1,40,22,0,9,9,0,1,85,1,8,0,33,12,1,469,0,6,11,18,95,11,2,13,2,1,52,14,10,224,4,6,9,6,11,11,2,7,14,3,34,6,17,3,3,26,10,200,62,15,24,1,40,3,2,1,12,71,3,10,2,7,2,12,23,7,7,11
36,9,7,35,14,1,137,7,74,25,3,2,8,8,2,4,7,8,0,4,2,7,4,2,389,15,21,54,17,11,6,16,22,7,8,5,2,12,37,11,20,7,6,3,5,1,90,48,2,12,6,33,60,43,5,14,1,1,11,0,4,2,14,3,2,2,1,23,1,4,74,8,14,9,45,10,3,21,11,0,47,2,39,270,3,15,2,5,4,10,6,3,3,56,0,8,1,6,223,23,2,103,1,7,2,0,50,511,11,8,6,2,74,631,248,2,19,8,5,4,45,1,11,1,2,4,22,8,49,0,1,1,3,1,33,1,19,1,3,1,1,17,29,5,3,3,21,24,4,10,6,2,17,29,100,13,31,19,4,35,1,73,4,10,28,12,97,1,220,1,14,1,7,43,0,556,4,72,6,43,111,6,28,11,5,16,244,38,13,180,2,4,153,19,2,23,2,7,13,4,36,6,17,1,6,5,10,215,13,22,21,0,45,6,3,3,8,144,3,11,5,3,6,3,100,119,14,12
33,6,6,20,21,7,39,5,39,8,3,2,1,10,0,7,8,5,0,0,5,12,0,5,456,300,18,0,26,14,6,4,6,13,4,14,1,10,16,4,4,3,10,4,5,2,8,42,1,6,15,7,14,27,1,7,0,9,4,5,2,3,9,1,2,11,2,13,2,3,46,239,12,45,43,6,1,3,18,12,53,8,28,181,9,12,0,32,14,6,11,3,7,7,5,6,2,2,108,8,7,4,2,39,9,0,18,548,9,14,5,0,1,329,408,1,20,7,6,3,7,4,16,2,3,3,36,3,34,1,2,0,9,2,2,0,14,2,6,5,0,18,11,6,0,3,5,32,4,7,4,14,13,131,3,3,5,7,6,16,3,95,15,3,5,21,89,2,121,3,12,1,21,60,1,29,0,58,7,8,28,10,26,5,5,7,121,40,7,0,2,5,51,10,8,29,4,7,17,5,40,2,15,1,2,17,40,185,46,26,45,0,51,9,2,7,33,108,11,20,1,2,3,4,76,36,9,9
6,13,8,9,19,3,111,3,228,6,5,6,3,10,1,5,3,7,1,2,3,14,4,2,220,417,9,50,16,6,5,21,11,1,0,10,2,11,11,4,33,7,11,3,5,2,58,34,3,20,10,18,29,5,2,10,0,5,7,6,27,2,34,0,1,5,4,11,2,3,17,4,33,29,56,8,2,5,24,10,25,6,44,267,7,6,3,51,13,9,6,7,2,20,4,6,1,4,21,18,5,7,1,51,23,0,31,23,9,2,6,4,61,745,44,46,14,1,3,2,80,2,11,2,1,14,62,10,33,4,2,2,12,1,5,3,9,3,2,3,0,5,9,9,8,3,29,46,7,4,7,4,19,146,61,5,83,3,1,22,0,11,9,4,17,54,46,2,33,4,15,1,40,13,2,75,3,14,8,52,95,8,7,14,4,17,66,39,9,0,2,11,159,19,8,18,3,18,10,8,94,1,1,1,114,18,46,287,20,36,19,12,40,6,1,1,12,77,0,16,7,4,10,10,13,43,17,8
7,7,9,37,8,5,89,3,553,1,2,2,3,11,6,2,7,7,0,3,4,11,3,3,152,380,25,35,20,9,15,19,6,6,5,3,4,5,31,8,28,11,5,5,5,2,37,25,2,18,10,47,24,2,4,4,2,5,4,5,7,0,11,1,2,5,3,24,1,2,52,292,16,77,20,8,3,33,12,13,52,7,4,11,2,4,2,68,2,3,3,5,1,6,17,12,0,5,215,8,4,113,0,7,5,0,37,19,3,13,8,2,39,780,246,42,18,4,5,1,79,5,20,0,1,1,49,5,15,1,5,0,3,4,3,0,5,2,0,2,1,3,19,0,6,2,26,58,20,8,4,6,9,174,98,7,107,20,6,11,3,36,0,1,8,10,71,6,85,3,12,3,10,52,0,468,7,14,10,72,10,2,29,9,4,10,250,20,0,94,0,5,89,1,11,9,2,7,1,5,8,1,6,3,1,11,30,69,10,5,24,3,27,3,0,5,23,144,1,16,1,3,10,6,72,7,6,3
93,13,16,98,17,5,100,8,815,0,3,3,4,5,8,0,2,6,0,0,2,11,0,2,470,16,10,73,51,13,13,2,20,11,4,21,4,12,28,8,17,10,8,6,2,4,78,49,1,19,11,48,136,25,3,5,3,4,4,7,3,1,12,4,1,4,1,16,2,0,17,164,39,34,19,9,3,62,26,9,30,2,23,398,2,11,1,19,5,7,12,3,7,28,12,7,4,6,257,11,2,11,1,25,3,0,50,244,8,12,12,5,45,613,125,1,14,8,2,0,74,5,19,0,1,1,32,8,7,1,4,2,8,2,65,3,29,0,4,4,1,7,4,13,6,6,16,29,17,3,7,23,22,139,103,14,77,16,4,6,6,34,8,6,4,23,52,0,186,3,19,5,95,42,2,299,1,40,11,12,181,8,22,12,2,16,278,36,3,211,3,7,187,14,8,17,3,7,19,1,69,8,10,0,91,7,20,309,24,24,26,4,40,6,1,3,16,249,9,7,0,10,8,9,3,4,2,11
80,4,16,12,7,7,96,11,51,4,4,1,9,10,4,1,11,1,3,1,11,9,1,2,179,570,9,1,41,12,9,10,19,2,3,5,2,13,2,13,10,3,9,3,14,3,128,49,3,8,17,23,43,35,8,13,0,0,1,2,8,1,13,8,2,5,2,16,1,3,22,106,37,45,25,7,1,4,36,12,30,13,42,8,6,26,3,5,10,2,7,6,3,35,14,9,12,4,204,8,2,15,4,19,3,0,81,472,19,8,10,6,58,472,144,99,21,1,16,2,79,1,6,2,3,7,67,1,65,2,9,2,6,1,50,0,15,2,2,6,0,24,10,2,0,9,23,47,6,4,7,8,9,147,76,6,66,7,3,18,3,27,2,6,31,19,69,1,165,0,11,5,62,1,2,60,12,6,5,103,144,2,60,19,10,11,33,26,7,161,0,7,117,13,6,26,6,8,20,11,2,6,3,1,212,11,26,50,57,27,15,5,54,16,0,4,16,165,4,18,1,4,9,19,162,17,20,17
71,15,17,61,13,3,76,8,514,6,4,2,9,6,5,1,1,9,2,1,1,6,2,5,569,4,10,30,32,13,9,6,14,5,8,15,1,11,32,5,16,4,9,3,3,0,26,22,14,9,7,25,19,22,2,23,0,1,6,6,9,1,20,3,0,3,1,7,4,3,15,3,14,17,46,2,1,26,13,16,54,7,13,205,10,26,2,38,10,5,6,4,2,26,6,7,5,8,242,9,1,60,4,21,14,0,26,366,21,6,6,4,10,584,209,37,22,4,3,1,12,3,9,0,5,0,36,10,35,0,6,1,4,3,4,4,18,7,2,1,0,14,17,1,1,2,26,3,4,10,5,6,26,138,110,9,27,11,9,16,0,18,7,6,78,98,86,1,3,0,34,0,30,21,2,771,6,15,6,49,69,3,32,8,3,12,108,31,5,171,1,7,113,9,18,6,1,2,21,5,65,4,4,1,140,8,28,251,59,21,21,4,20,2,1,6,40,72,5,41,1,4,5,13,4,52,13,7
13,10,45,24,17,2,140,2,65,3,5,1,6,0,5,1,2,8,3,2,5,30,0,0,124,7,3,154,33,11,10,13,17,8,6,7,1,9,43,17,2,6,12,1,7,3,55,45,3,31,33,28,45,11,2,9,2,8,4,4,9,4,46,6,5,6,1,16,1,8,15,464,58,68,93,4,2,65,10,45,9,6,51,106,6,12,2,25,13,0,11,14,1,27,9,14,3,6,14,10,5,69,1,62,20,0,48,1208,0,5,16,4,208,415,532,53,14,8,2,1,119,1,9,0,2,3,80,12,13,0,4,5,6,1,124,0,43,0,6,5,0,26,6,5,3,1,28,15,2,6,12,23,14,29,70,13,60,23,5,13,2,2,8,4,7,117,1,2,87,0,16,5,58,8,0,355,1,15,12,66,26,8,36,19,5,13,57,31,6,35,5,5,21,7,21,30,6,8,9,10,0,9,15,0,2,41,48,43,111,32,17,21,26,8,0,0,14,149,24,20,0,11,6,23,14,91,20,16
12,10,16,82,10,2,39,7,57,7,6,5,4,12,2,3,3,0,4,1,0,7,0,0,278,462,23,3,15,15,5,18,11,7,4,4,5,15,16,8,28,8,13,1,2,2,6,27,3,7,2,16,16,6,5,8,1,6,0,2,10,2,24,3,1,6,1,8,2,3,112,138,29,19,50,1,3,41,7,18,10,2,4,15,3,10,0,43,2,5,4,3,2,31,14,4,4,1,248,11,0,67,3,26,28,0,31,262,6,3,1,4,58,11,154,48,7,6,2,0,79,3,17,1,0,4,59,12,41,1,8,2,9,2,54,1,24,1,2,4,0,16,1,5,5,2,19,27,10,14,15,4,7,25,114,20,59,5,7,8,1,3,1,6,37,35,7,1,3,0,17,1,51,85,0,37,6,3,12,112,109,11,51,14,3,5,262,15,10,215,2,8,143,1,6,5,3,5,24,7,7,8,25,1,98,11,18,144,44,10,13,3,37,2,4,0,12,164,6,15,7,1,4,10,320,7,8,4
2,15,11,83,8,4,107,12,80,3,4,2,2,10,5,2,5,5,2,0,1,11,3,6,285,622,8,2,24,13,9,6,14,3,2,11,2,6,1,2,22,6,13,2,2,3,108,41,1,14,19,27,82,1,1,9,0,4,1,5,12,3,17,10,1,8,1,23,3,5,11,2,4,32,8,8,0,43,8,5,38,1,46,421,1,22,4,15,6,8,2,5,1,33,23,5,8,7,158,9,4,61,2,28,17,0,60,613,10,5,10,6,41,16,370,0,48,5,9,2,58,3,19,1,1,3,45,6,5,2,3,1,11,2,34,2,17,0,2,1,0,23,25,5,3,0,24,61,15,6,5,9,14,139,70,9,93,10,4,26,0,5,2,3,3,12,49,3,94,0,7,3,111,44,1,381,5,51,12,47,69,15,33,5,4,10,51,20,16,169,3,8,66,13,12,20,1,4,20,5,68,2,2,3,221,12,14,190,66,23,24,2,53,15,4,4,16,99,1,23,1,8,8,2,116,123,2,11
11,5,12,131,7,4,72,3,278,1,7,3,5,13,6,3,15,6,0,0,6,3,0,3,179,164,11,60,22,11,10,20,28,4,5,8,3,12,3,6,14,6,7,7,2,0,88,40,3,2,6,13,16,8,4,7,2,1,1,5,7,1,28,4,1,7,2,26,2,2,35,65,16,53,27,1,0,53,32,5,39,4,32,486,4,5,3,6,9,0,2,1,3,9,9,8,8,2,280,10,1,81,1,36,8,0,16,14,13,3,2,3,88,606,349,4,37,4,8,1,38,4,23,3,1,0,5,12,3,1,2,4,9,1,40,3,11,0,4,7,0,14,5,4,7,6,7,56,15,9,10,9,11,30,125,11,166,5,1,12,2,46,7,2,2,15,53,0,114,2,10,3,70,57,0,157,3,50,6,46,28,11,36,10,1,3,123,32,5,191,1,6,188,3,3,8,1,9,3,1,14,0,13,1,124,30,36,254,77,17,57,1,33,3,3,4,22,117,5,8,1,0,9,7,110,69,6,14
4,9,47,143,11,2,35,10,1318,25,5,0,5,30,10,10,4,11,5,0,3,11,1,3,125,542,9,154,32,31,30,10,5,9,3,6,3,7,118,6,15,5,9,4,4,2,78,47,6,13,31,52,59,13,1,11,6,5,5,4,8,3,26,4,2,11,0,24,3,4,60,392,47,34,13,8,0,102,18,11,115,5,43,396,11,16,1,22,12,5,4,5,4,51,6,16,3,2,15,16,7,12,2,11,36,0,48,1173,14,5,9,5,141,594,355,1,0,5,4,1,101,3,9,0,5,7,21,11,62,3,5,3,19,4,126,3,25,0,4,1,0,24,16,1,1,4,31,4,11,5,8,15,57,215,217,7,87,30,13,26,1,40,17,6,48,21,2,2,224,3,26,4,59,34,3,364,4,133,10,18,227,14,61,25,1,10,382,30,9,163,4,11,12,13,7,14,3,22,5,6,23,6,9,1,104,21,18,46,126,4,15,15,31,12,1,8,6,378,9,8,2,6,3,11,82,123,18,7
26,8,16,88,8,2,78,11,439,6,5,0,3,2,3,5,2,9,2,2,1,12,3,0,200,563,6,51,12,5,8,6,2,10,4,11,1,10,20,2,1,6,5,3,6,1,83,38,7,9,3,20,20,0,3,5,3,6,2,4,13,4,13,1,1,4,0,13,1,3,80,107,7,25,20,2,3,2,27,3,22,7,6,270,3,17,2,45,15,9,6,4,6,24,5,10,6,0,105,12,0,86,3,21,9,0,46,563,16,3,5,1,26,732,175,3,4,7,1,2,8,3,17,0,2,0,35,11,38,2,7,2,6,3,3,0,16,0,3,4,0,16,5,3,3,2,15,4,11,8,11,16,14,91,3,11,30,16,7,8,4,18,4,2,31,50,2,3,4,2,22,2,41,33,1,345,3,16,17,9,69,11,46,20,9,9,203,20,10,66,1,4,125,10,14,4,6,3,3,6,24,9,1,1,4,18,9,262,69,18,33,2,38,6,3,4,13,52,8,24,1,7,8,1,82,61,6,15
53,9,13,21,6,5,95,9,224,7,3,3,2,7,4,4,2,3,4,2,5,12,1,3,266,877,11,38,17,18,4,2,24,2,2,7,1,3,46,8,45,9,5,3,2,0,60,39,6,6,14,34,55,33,4,10,1,5,3,7,6,2,27,4,3,6,1,16,1,2,15,3,14,76,36,9,4,56,18,7,7,5,7,188,2,6,2,33,11,3,4,9,1,11,6,0,2,1,82,9,5,11,0,25,1,0,67,197,14,6,1,8,122,826,260,55,19,5,4,1,67,2,6,0,1,3,64,13,90,0,3,4,13,0,48,3,16,1,2,0,0,7,9,4,3,1,22,31,9,8,2,4,6,131,3,3,24,4,4,14,1,29,4,2,3,14,76,3,5,1,14,2,32,64,2,578,3,47,3,52,65,8,7,15,2,5,139,15,1,109,5,3,8,12,8,15,2,2,22,0,62,1,13,3,79,16,26,169,10,6,38,1,50,3,2,3,8,115,2,12,1,3,7,6,78,17,11,13
32,7,18,91,17,4,74,8,325,1,7,1,4,7,5,2,6,12,4,3,3,7,2,1,286,193,13,1,29,19,9,4,3,10,1,10,1,15,13,10,0,3,8,4,5,1,7,22,3,11,5,22,39,38,2,12,2,11,10,3,4,4,17,5,0,6,6,15,1,0,30,58,6,46,11,6,0,47,14,10,30,6,27,13,1,18,0,4,8,3,5,4,2,24,8,0,0,3,132,17,4,45,1,48,4,0,44,510,11,4,15,4,52,381,257,3,21,6,2,1,58,2,6,1,1,2,42,10,3,0,7,2,10,6,43,0,15,1,3,7,0,4,6,11,7,1,37,12,10,9,3,8,4,101,5,12,18,8,7,11,1,2,9,3,16,8,5,3,200,0,17,6,77,25,2,43,2,54,13,35,23,3,39,21,3,13,138,15,21,126,1,4,176,8,8,22,0,6,12,11,20,2,13,2,81,18,10,29,14,19,21,2,31,2,2,1,12,128,0,11,8,3,1,4,16,10,2,12
22,6,19,70,15,4,74,2,319,10,3,6,2,12,2,3,6,11,2,2,0,2,2,1,75,553,13,18,9,11,12,4,2,3,4,8,1,6,10,10,46,6,11,1,3,2,12,42,4,14,5,12,25,5,2,3,0,8,4,1,7,2,18,2,3,3,0,14,1,2,44,208,7,12,17,3,3,28,18,20,14,2,24,287,1,9,0,48,3,9,2,4,3,25,3,7,2,3,5,9,1,5,1,24,3,0,33,15,13,1,8,3,9,485,214,62,22,2,3,2,43,3,9,5,1,4,50,19,67,1,2,1,10,2,1,1,16,2,8,3,0,7,8,4,2,2,3,22,6,4,19,8,32,108,47,6,25,19,7,10,0,26,5,1,11,58,0,0,84,1,19,0,49,4,1,358,2,14,6,13,31,5,18,11,2,7,77,19,5,159,2,6,124,9,6,12,1,12,2,2,1,6,10,0,3,14,41,134,63,11,7,7,45,4,3,1,9,164,0,7,4,4,7,1,90,16,9,6
6,2,12,92,8,0,78,8,793,9,9,9,4,9,5,4,7,6,0,2,1,9,2,0,386,311,10,19,14,10,5,3,17,3,4,10,8,16,18,6,59,5,8,1,6,1,22,37,1,6,10,25,25,7,6,18,1,2,2,2,17,4,25,1,5,7,2,4,1,2,59,89,13,36,18,8,2,59,16,19,30,6,31,10,5,12,1,5,19,5,4,4,3,19,7,2,2,4,88,15,1,127,1,11,8,0,47,461,11,8,1,1,68,705,315,32,4,5,0,0,68,6,9,5,0,3,90,6,42,2,3,0,10,1,59,0,14,1,5,3,0,10,12,4,4,3,27,43,6,7,2,3,16,105,2,11,34,13,4,19,1,30,4,4,27,10,2,0,292,3,17,3,92,28,1,366,2,38,6,41,36,0,38,12,0,6,320,34,3,110,3,6,91,9,8,21,2,1,7,12,30,5,12,4,81,71,9,67,8,23,39,10,39,3,1,2,18,39,0,23,1,4,9,7,7,46,5,13
29,6,21,98,7,4,91,8,158,24,1,4,5,10,3,1,3,5,4,1,3,4,0,3,361,564,21,2,17,7,11,10,7,7,5,22,5,4,11,2,10,1,7,1,5,0,35,43,6,8,6,27,41,3,0,6,0,3,2,5,9,2,11,2,0,16,2,6,1,5,7,125,34,37,18,5,3,0,11,7,35,1,6,383,10,19,0,85,6,2,5,8,2,22,15,4,0,6,79,6,0,6,2,38,2,0,36,456,15,2,4,2,39,3,96,65,13,2,8,0,63,5,21,1,2,3,44,6,76,1,5,2,17,0,41,2,16,5,1,1,1,15,14,8,3,3,29,54,10,6,4,3,10,120,7,9,59,6,3,7,2,42,0,2,58,91,9,2,36,1,14,1,85,5,0,226,3,7,12,29,121,1,5,7,4,8,47,18,9,109,1,5,22,3,18,11,4,6,1,3,52,1,10,1,103,11,26,159,79,5,38,4,20,3,2,0,11,96,6,11,0,2,1,2,45,47,15,10
20,18,7,15,10,3,69,2,1172,6,3,2,2,10,1,1,6,2,2,2,3,9,1,3,106,355,13,15,27,9,6,5,14,4,5,9,0,4,48,11,23,1,5,4,4,0,4,39,0,14,6,19,12,2,4,6,1,4,4,9,13,2,17,0,0,10,1,21,1,7,70,4,18,1,66,4,2,92,21,4,35,7,41,579,9,10,0,6,4,7,10,4,1,46,8,6,3,0,141,11,8,31,1,36,25,0,42,404,12,5,2,5,58,7,247,23,19,1,3,0,70,9,8,0,4,6,66,8,4,4,4,0,4,3,105,1,12,0,4,6,0,16,14,4,4,4,11,57,10,8,6,9,13,30,11,14,124,9,1,16,1,28,7,14,3,42,96,1,165,4,12,5,20,49,0,208,1,15,11,67,127,7,54,11,0,12,234,10,15,7,0,7,70,6,9,8,2,5,13,3,23,5,3,1,1,21,20,270,94,26,20,7,35,2,3,3,20,6,6,10,4,6,4,15,10,110,5,17
45,13,35,118,5,7,31,1,504,22,5,3,3,11,2,5,9,5,2,1,4,4,1,4,867,12,13,20,40,11,19,2,6,7,9,15,2,4,6,5,16,7,7,0,2,3,3,23,3,21,16,31,43,1,2,13,2,3,5,6,10,2,20,3,2,5,0,15,2,1,15,2,7,56,11,9,4,25,13,7,11,7,10,432,1,20,2,42,15,5,6,3,0,18,15,9,5,1,114,17,1,98,5,12,2,0,42,24,4,4,1,1,11,437,18,2,5,4,6,0,76,4,16,0,0,4,42,14,47,4,0,1,13,3,3,3,11,1,2,2,0,13,9,4,6,1,11,60,13,11,1,10,10,144,6,2,50,20,5,7,2,39,5,2,7,16,68,0,76,1,22,0,70,26,3,682,2,14,12,88,129,10,36,18,7,17,154,13,2,187,2,12,91,6,8,12,1,4,44,5,17,6,15,5,2,11,20,39,68,23,16,3,25,4,5,2,15,202,12,14,3,7,4,3,44,90,9,6
57,16,22,137,12,6,90,5,481,1,3,3,1,6,5,4,10,7,0,2,1,12,1,0,235,197,12,2,26,8,5,10,16,9,2,8,1,11,3,3,57,3,10,2,2,1,8,39,4,6,4,12,32,22,0,14,0,8,1,10,10,1,22,2,1,4,1,5,2,1,14,184,13,41,28,6,1,27,7,18,24,6,28,14,4,14,3,44,9,4,2,1,0,45,6,4,3,1,119,11,3,49,2,6,5,0,33,14,4,9,2,1,20,272,191,50,9,6,4,0,35,2,21,2,1,6,70,4,47,0,4,1,12,2,15,0,16,0,2,8,0,11,10,6,3,0,5,33,12,15,13,4,18,115,4,14,44,17,8,9,1,89,12,0,1,44,2,2,53,2,19,1,26,54,4,585,3,41,12,20,112,4,45,6,2,9,183,25,10,119,0,2,107,6,12,15,3,5,1,3,17,3,8,1,63,55,24,187,62,19,24,1,30,6,3,3,22,81,0,41,1,3,9,5,67,4,4,10
71,1,17,34,15,6,69,2,42,2,5,3,11,7,2,1,12,10,3,2,1,8,1,3,327,630,19,23,49,20,8,15,22,2,3,1,1,7,48,15,35,5,14,9,3,2,4,39,4,22,10,33,23,2,0,4,1,4,3,6,12,0,23,6,4,9,0,13,1,1,27,107,27,89,37,0,0,5,10,8,44,6,7,447,6,15,0,18,6,15,4,4,5,2,7,6,8,0,189,8,1,7,1,9,9,0,69,441,5,9,7,1,42,816,284,65,22,5,1,1,55,7,20,2,1,1,26,7,48,2,4,1,9,5,68,1,18,1,3,1,0,1,15,7,2,0,19,14,10,16,5,6,9,111,3,12,5,26,2,17,4,5,6,7,73,14,62,1,124,5,18,2,84,16,1,553,3,122,18,6,242,1,19,23,6,4,86,18,9,108,0,6,10,3,12,26,0,5,19,8,0,3,8,1,68,33,28,50,11,6,13,11,30,5,6,0,18,46,11,25,3,1,9,9,7,14,5,13
7,4,5,54,10,4,52,8,1071,1,2,3,1,18,1,2,12,5,7,2,2,11,1,2,86,14,13,2,8,11,9,1,7,11,5,9,1,8,38,3,40,8,0,1,1,5,14,22,1,2,8,41,41,9,4,6,0,8,2,4,4,4,15,0,1,3,2,15,0,2,50,305,33,76,13,4,0,109,11,7,44,2,36,7,5,8,4,0,11,4,8,5,1,20,19,11,2,13,321,7,1,54,4,19,17,0,89,376,6,7,17,3,25,608,24,84,27,3,4,1,101,13,11,1,5,5,44,5,8,1,5,5,16,1,72,1,21,5,0,2,0,20,9,8,2,1,41,43,5,8,5,13,17,34,75,4,41,15,9,20,4,68,11,5,87,51,137,2,167,4,16,2,53,36,0,69,5,5,12,74,13,11,8,17,3,14,216,11,24,139,0,3,19,6,2,5,3,7,17,19,0,5,4,3,0,13,12,219,93,18,41,4,25,5,2,0,12,226,1,18,1,1,2,7,80,57,6,5
70,2,23,40,3,3,79,13,748,13,3,2,0,7,3,0,2,3,4,3,1,16,3,2,272,16,14,56,30,9,18,14,7,6,4,38,4,10,23,5,8,14,10,2,1,1,44,32,4,8,16,71,99,4,1,6,2,1,1,3,5,1,21,3,1,5,3,18,1,0,18,234,40,112,4,7,1,3,9,7,44,8,18,581,7,10,3,30,7,0,8,4,2,42,16,5,2,1,109,10,4,76,0,5,20,0,70,783,13,9,1,1,44,497,260,81,14,4,4,0,4,7,12,3,3,4,32,16,28,6,5,2,16,5,87,1,16,1,4,5,0,10,10,5,0,2,41,45,22,13,11,7,16,47,83,3,16,3,4,15,3,17,7,2,9,15,43,4,128,0,16,2,67,3,1,59,5,55,11,112,86,10,58,24,3,5,288,27,11,121,3,4,118,3,11,20,3,4,22,6,41,1,14,2,132,3,29,311,75,20,26,8,42,2,5,2,13,167,5,21,6,3,4,1,8,57,13,13
41,4,13,56,13,3,58,5,704,3,2,4,5,7,4,2,9,1,6,2,1,8,1,2,346,24,9,13,26,4,21,8,23,6,3,9,0,5,9,7,22,9,9,1,7,0,2,33,4,9,6,22,39,42,2,9,1,5,6,4,15,0,22,1,1,5,2,4,0,1,48,77,20,17,33,5,5,36,30,18,13,4,31,11,5,3,4,52,1,11,7,7,0,21,7,7,2,0,175,15,5,55,1,45,6,0,28,453,3,3,8,4,53,234,275,101,4,2,4,1,36,12,22,3,0,2,6,5,27,1,4,0,7,0,47,1,19,1,6,5,0,5,2,5,0,1,7,29,9,13,3,2,21,108,105,14,51,7,5,16,3,55,1,8,52,49,1,8,51,0,16,1,4,42,1,431,0,10,8,19,111,5,31,19,6,12,191,18,12,0,0,5,59,5,8,13,1,11,7,6,23,10,4,1,65,36,25,238,46,22,8,1,36,1,3,0,26,53,0,11,3,2,8,4,1,95,4,15
47,12,31,105,14,1,117,12,685,6,11,0,15,10,2,4,9,10,0,3,6,13,5,0,243,621,20,37,29,26,21,25,1,11,8,8,1,9,6,9,12,7,10,3,9,4,61,49,8,30,23,44,80,4,6,15,0,5,5,0,9,4,23,6,4,26,4,27,0,6,103,264,10,129,43,1,1,68,14,9,13,6,56,396,1,8,1,90,11,7,11,4,1,26,8,10,5,9,135,14,15,124,3,36,6,0,85,19,15,5,4,6,63,9,207,156,52,3,3,5,148,14,10,3,6,7,51,16,52,0,2,1,1,1,52,1,15,6,8,6,0,13,33,2,1,4,7,127,20,14,5,4,23,146,108,1,201,5,3,4,2,46,6,4,38,11,108,2,209,1,9,3,132,50,3,211,4,92,12,83,159,6,11,11,5,18,190,34,4,117,3,10,140,17,10,13,6,5,7,1,41,14,8,1,245,4,18,289,14,3,51,17,39,8,2,2,17,260,7,11,12,4,2,9,187,19,16,8
29,6,21,56,3,3,107,1,136,8,3,2,4,7,4,3,4,4,1,1,0,7,2,1,413,10,6,25,18,9,2,4,10,2,6,6,1,3,1,5,5,16,8,0,2,1,83,46,6,6,5,27,55,15,2,12,0,9,3,7,3,0,5,6,1,5,0,3,5,0,41,6,9,15,24,6,3,24,20,12,24,15,17,9,0,10,1,42,2,9,7,2,1,25,5,4,2,1,82,5,1,48,1,18,24,0,27,415,6,3,10,4,18,580,151,54,2,2,3,3,37,6,12,2,4,3,9,8,4,1,0,3,6,2,22,4,15,2,3,7,0,10,1,4,2,1,7,40,14,5,4,6,16,100,34,5,26,14,5,7,2,22,4,6,34,18,63,0,3,0,6,3,49,8,1,192,4,8,3,32,21,3,24,3,2,4,69,26,14,106,1,4,95,4,5,13,1,4,20,6,30,4,4,3,2,13,15,155,34,4,19,6,30,8,1,2,18,61,3,8,0,1,1,0,82,5,11,12
34,9,30,82,10,5,43,6,507,9,3,3,3,7,9,2,7,5,1,5,3,15,1,0,207,503,7,2,22,8,14,5,6,11,5,3,1,8,30,9,47,9,4,1,5,1,61,25,9,8,18,7,20,34,5,14,0,8,2,0,6,2,11,3,0,7,0,20,0,1,43,183,7,60,34,5,5,49,23,19,31,7,15,196,3,14,2,51,16,7,1,0,0,35,4,5,1,1,114,4,2,64,5,17,4,0,74,18,7,2,4,1,44,692,300,66,9,2,2,1,63,1,7,2,0,1,2,11,8,2,3,0,14,0,4,2,20,3,2,3,0,8,5,2,1,3,41,29,9,8,10,4,32,137,5,3,60,8,5,12,1,6,8,3,19,18,71,3,123,6,15,3,10,53,2,337,4,22,8,57,169,6,8,9,2,6,64,10,2,108,1,5,65,3,6,15,0,6,8,1,13,0,3,1,76,39,10,41,8,26,63,3,44,7,5,2,13,62,35,18,3,3,5,1,137,52,11,19
